Sequoia_ID,Season_Year,Species,Harvest_Date,How_Taken,Harvest_BMU,Harvest_County,Registration_Sex,BirthYear,Latitude,Longitude
BB21_1390,2021,Black Bear,15-Oct-21,Hunting,Carney,Dickinson,M,2017,46.411433687,-85.5414773746
BB21_1216,2021,Black Bear,23-Sep-21,Hunting,Gwinn,Delta,F,2020,46.5487020399425,-86.0521823688269
BB21_1232,2021,Black Bear,27-Sep-21,Hunting,Newberry,Schoolcraft,M,2020,45.6588130146,-87.5421205665
BB21_1206,2021,Black Bear,10-Oct-21,Hunting,Bergland,Ontonagon,M,2020,46.7152831549,-89.5208202613
BB21_1211,2021,Black Bear,25-Sep-21,Hunting,Gwinn,Delta,F,2019,46.5857311763,-89.0432346914
BB21_1218,2021,Black Bear,1-Oct-21,Hunting,Gwinn,Dickinson,M,2018,46.5859706029,-88.418364232
BB21_1207,2021,Black Bear,25-Sep-21,Hunting,Gwinn,Delta,M,2018,46.0510075093,-87.8565245516
BB21_1217,2021,Black Bear,1-Oct-21,Hunting,Gwinn,Delta,M,2020,46.3979221504,-89.2928603169
BB21_1210,2021,Black Bear,27-Sep-21,Hunting,Gwinn,Marquette,F,2016,46.7153029597,-88.4597607426
BB21_1208,2021,Black Bear,25-Sep-21,Hunting,Gwinn,Marquette,M,2019,46.2393545525,-87.8976771521
BB21_1209,2021,Black Bear,28-Sep-21,Hunting,Gwinn,Delta,F,2019,47.0771792284,-88.6067279965
BB21_1212,2021,Black Bear,22-Sep-21,Hunting,Gwinn,Delta,F,2019,46.6147765821,-88.6055167199
BB21_1205,2021,Black Bear,25-Sep-21,Hunting,Bergland,Ontonagon,F,2019,46.2680523917,-88.3776295098
BB21_874,2021,Black Bear,25-Sep-21,Hunting,Newberry,Schoolcraft,F,2014,46.4115156923,-84.6244579297
BB21_875,2021,Black Bear,25-Sep-21,Hunting,Newberry,Mackinac,F,2019,46.3983891241,-86.710080744
BB21_878,2021,Black Bear,25-Sep-21,Hunting,Newberry,Schoolcraft,M,2019,46.282685842,-87.272406046
BB21_876,2021,Black Bear,15-Sep-21,Hunting,Newberry,Schoolcraft,M,2018,46.6291717772,-85.5629837964
BB21_879,2021,Black Bear,22-Sep-21,Hunting,Newberry,Schoolcraft,M,2020,45.658924267,-87.2130633202
BB21_873,2021,Black Bear,11-Sep-21,Hunting,Newberry,Schoolcraft,M,2019,45.5145816366,-87.5012979231
BB21_877,2021,Black Bear,25-Sep-21,Hunting,Newberry,Schoolcraft,F,2015,46.4274643192,-87.0015154749
BB21_872,2021,Black Bear,27-Sep-21,Hunting,Carney,Menominee,F,2020,46.760089733,-85.2276252931
BB21_884,2021,Black Bear,12-Sep-21,Hunting,Newberry,Luce,F,2019,46.5270443834,-86.2716492017
